signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,cam_class1_spatial_entropy,branch,2,cam28_2,3418,0.2393212404915155,0.6395208764340793
A,cam_class1_spatial_entropy,branch,3,camdeep,3418,0.21181977764774723,0.6343021836944797
A,cam_class1_top10_mass_ratio,all,-1,all,13672,0.24049151550614395,0.36717514007138063
A,cam_class1_top10_mass_ratio,fold,0,all,2748,0.23071324599708878,0.30702780621304865
A,cam_class1_top10_mass_ratio,fold,1,all,2744,0.20298833819241982,0.42980924493436407
A,cam_class1_top10_mass_ratio,fold,2,all,2692,0.23068350668647847,0.2997252916006721
A,cam_class1_top10_mass_ratio,fold,3,all,2724,0.19823788546255505,0.36994556369556364
A,cam_class1_top10_mass_ratio,fold,4,all,2764,0.3386396526772793,0.4124457629654566
A,cam_class1_top10_mass_ratio,branch,0,cam56,3418,0.22440023405500292,0.38983395112518116
A,cam_class1_top10_mass_ratio,branch,1,cam28_1,3418,0.2864248098303101,0.3773277365051485
A,cam_class1_top10_mass_ratio,branch,2,cam28_2,3418,0.2393212404915155,0.373045890539778
A,cam_class1_top10_mass_ratio,branch,3,camdeep,3418,0.21181977764774723,0.37237753632996595
A,cam_class1_top20_mass_ratio,all,-1,all,13672,0.24049151550614395,0.36734237986383694
A,cam_class1_top20_mass_ratio,fold,0,all,2748,0.23071324599708878,0.3031360704810054
A,cam_class1_top20_mass_ratio,fold,1,all,2744,0.20298833819241982,0.4327181427055089
A,cam_class1_top20_mass_ratio,fold,2,all,2692,0.23068350668647847,0.2980943805687156
A,cam_class1_top20_mass_ratio,fold,3,all,2724,0.19823788546255505,0.3743708452041785
A,cam_class1_top20_mass_ratio,fold,4,all,2764,0.3386396526772793,0.4126585030578466
A,cam_class1_top20_mass_ratio,branch,0,cam56,3418,0.22440023405500292,0.3898147706432396
A,cam_class1_top20_mass_ratio,branch,1,cam28_1,3418,0.2864248098303101,0.3809725431268613
A,cam_class1_top20_mass_ratio,branch,2,cam28_2,3418,0.2393212404915155,0.37293962760955424
A,cam_class1_top20_mass_ratio,branch,3,camdeep,3418,0.21181977764774723,0.3684543511876197
A,pred_class1_area_fraction,all,-1,all,13672,0.24049151550614395,0.6244904897671507
A,pred_class1_area_fraction,fold,0,all,2748,0.23071324599708878,0.6894829870862419
A,pred_class1_area_fraction,fold,1,all,2744,0.20298833819241982,0.521058006385045
A,pred_class1_area_fraction,fold,2,all,2692,0.23068350668647847,0.7067971862022204
A,pred_class1_area_fraction,fold,3,all,2724,0.19823788546255505,0.6183290089540089
